id|platforms|genres|rating|title|url|star|content|author|n_ratings|cover
26682759|PC / PS4 / Xbox One|游戏 / 角色扮演 / 冒险 / 动作|9.7|巫师3：狂猎 血与酒 The Witcher 3: Wild Hunt - Blood and Wine|https://www.douban.com/game/26682759/|50|请购买steam正版吧，你会发现cdp公司需要玩家的支持，而他们的定价之低，游戏耐玩度精致度之高，根本就太不对劲了。|墨梓|3958|https://img1.doubanio.com/lpic/s29296639.jpg
27599942|Nintendo Switch|游戏 / 冒险 / 动作|9.7|塞尔达传说 旷野之息 - 英杰们的诗篇 ゼルダの伝説 ブレス オブ ザ ワイルド 英傑たちの詩|https://www.douban.com/game/27599942/|50|能回头看看Mipha就值回票价|Simbelmynë|562|https://img1.doubanio.com/lpic/s29663617.jpg
26968414|GB|游戏 / 横版过关 / 动作|9.6|超级马里奥兄弟DX スーパーマリオブラザーズデラックス|https://www.douban.com/game/26968414/|50|想玩是个大麻烦|夜雨声烦|25|https://img3.doubanio.com/lpic/s29683066.jpg
10794117|PS3|游戏 / 射击 / 冒险 / 动作|9.6|最后生还者 The Last of Us|https://www.douban.com/game/10794117/|50|豆瓣再加一个看过的选项吧，这么多视频通关的人，麻烦不要选玩过。|沉默的船|2894|https://img1.doubanio.com/lpic/s28313317.jpg
21355730|PC / PS4 / Xbox One|游戏 / 卡牌 / 角色扮演 / 冒险 / 动作|9.6|巫师3：狂猎 The Witcher 3: Wild Hunt|https://www.douban.com/game/21355730/|50|我买到了一个世界|Jason_Chang|10587|https://img3.doubanio.com/lpic/s28081091.jpg
25889245|PS4|游戏 / 冒险 / 动作|9.6|最后生还者 重制版 The Last of Us Remastered|https://www.douban.com/game/25889245/|50|如果你身边的人把游戏理解为LoL与王者荣耀，那么仅仅让他们玩个序章就足以颠覆他们对游戏的三观|Fr.ayden|6265|https://img1.doubanio.com/lpic/s27285107.jpg
30245105|PC / PS4 / Xbox One|游戏 / 角色扮演 / 冒险 / 动作|9.6|只狼：影逝二度 SEKIRO: SHADOWS DIE TWICE|https://www.douban.com/game/30245105/|50|一星的那个有病？|染匠之手|590|https://img1.doubanio.com/lpic/s29960207.jpg
26815212|PS4 / Xbox One|游戏 / 冒险 / 动作|9.6|荒野大镖客：救赎2 Red Dead Redemption 2|https://www.douban.com/game/26815212/|50|有多少人给自己的马起名叫萝卜的？|yangJyao|3659|https://img1.doubanio.com/lpic/s29756927.jpg
10758454|PC / Mac|游戏 / 角色扮演 / 动作|9.6|暗黑破坏神2：毁灭之王 Diablo II: Lord of Destruction|https://www.douban.com/game/10758454/|50|"我是80后，玩这款游戏是上大学，寝室一台电脑，六个人。每人4个小时，大家练级比较。大冬天，我有一次抽签是0到4点。12点准时起来。穿2件棉袄。大学的记忆。
"|每天小努力|3610|https://img1.doubanio.com/lpic/s25809809.jpg
11504723|PC / PS4 / Xbox One / PS3 / Xbox 360|游戏 / 冒险 / 动作|9.6|侠盗猎车手5 Grand Theft Auto V|https://www.douban.com/game/11504723/|50|小富作为穷人，金钱就是他的梦想。老麦作为罪犯，和平安稳的生活就是他的梦想。老崔作为一个情感有缺失的人，照顾兄弟和被熊第照顾就是他的梦想。|老頭樂|13386|https://img3.doubanio.com/lpic/s29296395.jpg
26954652|Nintendo Switch|游戏 / 冒险 / 动作|9.6|超级马力欧 奥德赛 スーパーマリオ オデッセイ|https://www.douban.com/game/26954652/|50|任天堂他妈的就是世界的主宰！|Yuri|6139|https://img1.doubanio.com/lpic/s29543798.jpg
14329485|Wii|游戏 / 动作|9.6|超级马里奥银河 スーパーマリオギャラクシー|https://www.douban.com/game/14329485/|50|这不是游戏，这是艺术。关卡设计数据库，动作游戏顶峰，无法想象高清之后的马银会达到何种程度。|redhousepainter|428|https://img3.doubanio.com/lpic/s28397842.jpg
